Sample ID,Isotope,Certified mass (ng),Certified mass uncert.,Calculated mass (ng),Calculated mass uncert.,Location
J11,U-233,31.324,0.05000,31.95570,0.09820,PT-2 (Corrected)
J11,U-235,20.88,0.06897,21.69920,0.03766,PT-2 (Corrected)
J11,U-238,2880,0.06897,2737.38494,0.00981,PT-2 (Corrected)
J14,U-233,21.9268,0.07143,22.52520,0.05515,PT-2 (Corrected)
J14,U-235,22.32,0.06452,22.86500,0.04726,PT-2 (Corrected)
J14,U-238,3078.62069,0.06452,3010.83225,0.00917,PT-2 (Corrected)
J22,Pu-239,14.56,0.01923,13.60840,0.02494,PT-2 (Corrected)
J22,U-235,28.08,0.05128,26.55250,0.02572,PT-2 (Corrected)
J22,U-238,3873.103448,0.05128,3859.90364,0.00790,PT-2 (Corrected)
J26,Pu-239,21.42,0.01307,21.25110,0.03877,PT-2 (Corrected)
J26,U-235,19.44,0.07407,20.65460,0.01184,PT-2 (Corrected)
J26,U-238,2681.37931,0.07407,2732.14375,0.01006,PT-2 (Corrected)
J11,U-233,31.324,0.05000,36.97110,0.09820,PT-2 (Uncorrected)
J11,U-235,20.88,0.06897,26.55660,0.03766,PT-2 (Uncorrected)
J11,U-238,2880,0.06897,2075.78872,0.00981,PT-2 (Uncorrected)
J14,U-233,21.9268,0.07143,25.86470,0.05515,PT-2 (Uncorrected)
J14,U-235,22.32,0.06452,28.08190,0.04726,PT-2 (Uncorrected)
J14,U-238,3078.62069,0.06452,2283.14679,0.00917,PT-2 (Uncorrected)
J22,Pu-239,14.56,0.01923,16.41800,0.02494,PT-2 (Uncorrected)
J22,U-235,28.08,0.05128,31.30250,0.02572,PT-2 (Uncorrected)
J22,U-238,3873.103448,0.05128,2927.00685,0.00790,PT-2 (Uncorrected)
J26,Pu-239,21.42,0.01307,24.84260,0.03877,PT-2 (Uncorrected)
J26,U-235,19.44,0.07407,26.43970,0.01184,PT-2 (Uncorrected)
J26,U-238,2681.37931,0.07407,2071.81428,0.01006,PT-2 (Uncorrected)
